"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6559","test_register_and_login","demoblaze","Wed Nov 12 20:46:07 UTC 2025","passed","Wed Nov 12 20:46:14 UTC 2025","TestAuth","test_auth","",""
"","1416","test_add_cart","demoblaze","Wed Nov 12 20:46:14 UTC 2025","passed","Wed Nov 12 20:46:16 UTC 2025","TestCart","test_cart","",""
